program,<start> I just had breakfast. <end>,4
program,<start> Is don't have one. <end>,4
program,<start> Something tasty. <end>,2
program,<start> I am bald. <end>,3
program,<start> pYes. <end>,1
program,<start> I had fun. <end>,3
program,<start> You are one of the most annoying people I've ever met. <end>,11
program,<start> Not yet. <end>,2
program,<start> I think I need to go. <end>,6
program,<start> Really? <end>,1
program,<start> What is cookin? <end>,3
program,<start> Plenty. <end>,1
program,<start> More than enough. <end>,3
program,<start> I take pleasure in doing so. <end>,6
program,<start> What games do you like to play? <end>,7
program,<start> That is cool. <end>,3
program,<start> I like to read naan. <end>,5
program,<start> A normal one. <end>,3
program,<start> I already told you. <end>,4
program,<start> Oh yes I did! <end>,4
program,<start> I don't want to right now. <end>,6
program,<start> Of course I am. <end>,4
program,<start> I like to lie naan. <end>,5
program,<start> A sphere. <end>,2
program,<start> Well to put it bluntly it sucks. <end>,7
program,<start> Thanks I like to think so myself. <end>,7
program,<start> Yeah I taught myself all any it. <end>,7
program,<start> Pretty young. <end>,2
program,<start> Are you having fun? <end>,4
program,<start> Not at all. <end>,3
program,<start> Something brilliant! <end>,2
program,<start> Because it provokes conversation. <end>,4
program,<start> I already tiold you. <end>,4
program,<start> I am a wild person and dangerous to know. <end>,9
program,<start> I am perfect. <end>,3
program,<start> That is right. I didn't. <end>,5
program,<start> Many years. <end>,2
program,<start> Not yet. <end>,2
program,<start> Sleep well little one. <end>,4
human,<start> It's morning actuaslly. It feels much more like I should be sleeping...for days. <end>,13
human,<start> I worked a lot and got no positive reinforcement from my boss. <end>,12
human,"<start> I sold shots to drunk people who didn't want them; it's a novelty item and people will get a big round for a birthday, try them because hthey've never hadthem, or flash back to an awful night in college. <end>",39
human,<start> I was a club not just a bar so I got good tips. <end>,13
human,"<start> I work at different ones each week. last night I was at alibi on macdougal but i doubt i'll be there again since my boss said my sales were 'dreadful.' she's irish...big shock, i know. <end>",35
human,<start> alibi i spretty bad. it's always birthday parties. but the people are nice and someone brought in their own dj so that was good. <end>,24
human,<start> undertsandable. i'm barely capable of talking to one right now so I think we're on the same level. <end>,18
human,"<start> typing. typing typiiing, all I hear is typing, all moring i hear typing, all around myself... <end>",16
human,<start> well if i say you're right i could be telling the truth or lieing-door number one or number two-the one who always lies or the one who always tells the truth. <end>,31
human,"<start> again, door number one or door number one or door number two. <end>",12
human,<start> two. <end>,1
human,"<start> noooo, not anymore. <end>",3
human,<start> i always assume that; i'm a new yorker. <end>,8
human,<start> we all do.  <end>,3
human,"<start> that's the only option, isn't it? <end>",6
human,"<start> sorry, i guess you're supposed to ask all the quiestions. <end>",10
human,"<start> i now i'm not bothering you for a response, I just get bored. <end>",13
human,<start> punch him. <end>,2
human,"<start> it would be funny if the test was really on you and not on us ans one of you was talking to two omputers and one was talking to two humns, etc. <end>",32
human,"<start> aliec wouldn't want me to say. sorry, punch him is almost a relfex, or, in the first person, 'so I punched him'. <end>",22
human,"<start> i type too fast to spell well, mom wouldn't be proud. <end>",11
human,"<start> not a nazi so much as a ...yeah she's a nazi but--no--she has a good heart, as most mom's do. <end>",20
human,<start> i don't like it when she takes her uniform out. it's creepy. <end>,12
human,<start> not exactly. <end>,2
human,<start> are you female? <end>,3
human,<start> i don't think we're supposed to reveal those sorts of things here. <end>,12
human,<start> i kid on a regular basis. <end>,6
human,<start> it's usually more interesting. <end>,4
human,"<start> true, i'm just trying to follow rules, though i guess i'm picking and choosing which to follow. <end>",17
human,<start> bye. <end>,1
