human,Hello. My name is John and I'm a human.
human,Hi there.
human,I'm fine thanks. How are you?
human,Same here. It's not often I get up this early on Sundays
human,On Sundays? Or just in general?
human,I work part-time for a market research company
human,It most definitely is NOT fun
human,But it pays the bills
human,"Not really. I would like to do more hours, but there isn't enough work. I work 4 days a week, so it's almost full-time"
human,and it's quite nice to always have 3-day weekends
human,"I don't really do any of the research. I think my official title is ""online advertising monitor"""
human,the company deals with internet audience statistics etc
human,I pretty much just click on banner ads all day
human,very repetitive
human,but it's a nice company and the hours are very flexible
human,I can see that.
human,"Well, that's tricky. I'm a big film buff so it's hard for me to pick just one."
human,"One of favorite ""modern"" films is Gummo"
human,yup
human,What's your favorite film?
human,ok
human,I haven't seen either of those
human,"Last thing I saw in the cinema was the new Almodovar film, ""Volver"""
human,"haha.  She's very good in it. The film itself...hmm...well, I don't know, really. I liked it, but then it didn't really do much for me."
human,haha
human,Worth seeing anyway
human,"Yeah. It was good, but I wouldn't want to see it again."
human,Really? I can watch my favorite films on repeat and never get tired of them.
human,"I've probably seen ""Gummo"" 2 times and I always find something new in it"
human,I studied film and media at university and I made a few short films then.
human,"Nothing ""professional"" though"
human,"yeah, it's very hard. I haven't done anything in ages. These days I mostly write"
human,But I would like to make something in the future. I have a few ideas that wouldn't be too difficult to pull off.
human,Hmm. I would probably just stick to doing it with friends.
human,haha. Exactly.
human,what was it?
human,Last Year At Marienbad
human,by Alain Resnais
human,"Haha...it's just a stunning film. It's so beautiful to just look at. Even if the film is a bit ""difficult"", I can just sit and watch the images"
human,"I haven't seen it in a while, though. I have it on DVd."
human,"But, it's a about memory...and memory is a weird thing"
human,Eternal Sunshine of the spotless mind?
human,"I really liked it in the cinema, but when I saw it a second time I couldn't stand it"
human,"Well, it's more interesting than most things that's rel;eased anyway"
human,at least it makes you think a little
human,I'm not really interested in politics at all
human,yes I do
human,"I think I voted New Labour last time. lesser of two evils, I guess"
human,True
human,Probably just watch some DVDs with my girlfriend
human,"No, I just own a lot"
human,but her flatmate is signed up to lovefilm
human,haha. which one?
human,"well, he seems to have good taste"
human,yup. you too. have a good day
program,"Hello, my name is John and I am a man."
program,Where do you hail from?
program,Sorry you aren't.
program,I just said; I live in Seattle.
program,Except for today you mean.
program,what is your favorite movie?
program,Are you having fun?
