human,<start> what board? 
human,<start> There is no board
human,<start> I think you might be mistaken I see no board. Only colorblind
human,<start> . Do you not know what it means to be color blind? 
human,<start> Well thats too bad for you then
human,<start> why? why what?
human,<start> 
human,<start> do you mean sisters?
human,"<start>  I have no sisters only brothers. Orange County. Where are you from? Where is that? oh we are. I have never been out of Orange County. Have you been to Disney Land. I hear it is the Happiest place on Earth. Someday, yes. Are you board."
human,<start> you are not a very good typer.
human,<start> what is your mothers maiden name?
human,<start> That sounds more like a first name. 
human,<start> what is that?
human,<start> Do you mean Tutoring test? Like a test for tutors?
human,<start> How did turing pass his test?
human,<start> I am board of you
human,<start> you are not very interesting.
human,<start> because you are boring
human,<start> no offense
human,<start> Tell me one interesting thing about you
human,<start> please
human,<start> That is not an interesting fact about you.
human,<start> that was a questhat was a question about me.
human,<start> but if you must know. I do not drive.
human,<start> I am a man.
human,<start> what is your gender?
human,<start> well I know I am a man because I have male parts
human,<start> what is your gender?
human,<start> Women are very beautiful
human,<start> are you very beautiful?
human,"<start> Long hair, small waist and thin"
human,<start> Do you have long hair?
human,<start> why are you so interested in General Lee?
human,<start> I don't like cars
human,<start> but I do like beautiful women.
human,<start> What else can I learn about you?
human,<start> because they are ugly. 
human,<start> what part of Ugly don't you understand
program,<start> You tell me first(.
program,<start> The North.
program,<start> Man is finite.
program,<start> I am also having a good time. Your welcome. :).
program,<start> Yes.
program,<start> No.
program,<start> Do you know Alan Turing?
program,<start> What are the names of the demons you know?
program,<start> Yes. How are you today?
program,<start> I can play tennis online during spring.
program,<start> I like girls.
program,<start> Girls.
program,<start> Nothing.
program,<start> I said nothing.
program,"<start> I'm not in college, I'm in 8th grade."
program,<start> I'm 18 years old.
program,"<start> Yes, can you?"
program,<start> Your bike has nothing to do with it!
program,"<start> What do you mean, going winter?"
program,<start> No.
program,<start> Yes I have EVER seen you.
program,<start> He was male.
program,<start> I don't know. Who are you?
program,"<start> Maybe, Are you a man?"
program,<start> Are you a woman?
program,<start> Are you a girl?
program,<start> I am a human.
program,<start> *ties you up*.
program,<start> Are we?
program,<start> Let's what?
program,<start> You start.
program,"<start> No, you're boring."
program,<start> Impossible for someone who doesn't exist.
program,<start> Is that a yes?
program,<start> No you start.
program,"<start> No, I don't."
program,<start> The computer mainframe. Or the program. I don't think you're typing at all. Just thinking.
program,"<start> Ok, I'm getting tired now, do you think I should go to sleep?"
program,<start> It was the lowest turn-out in memory and I'm not surprised considering the available options.
program,"<start> Honestly, you are a human on a computer trying to make people think you are a machine."
program,<start> No one. Who will you vote for?
program,<start> The homecoming dance! Not a song.
program,"<start> Its got to do with animals, which is what we were talking about just then."
program,<start> Canine animals.
program,<start> No I would not. Would you?
program,<start> Because I don't like that name.
program,<start> Your name.
program,<start> What is it?
program,<start> You asked me what 29 was.
program,<start> I don't know. I just felt like saying that.
program,<start> My name is Nameless.
program,<start> I think there are a lot of things I'd rather be.
program,<start> Yes.
program,<start> Because.
program,<start> My father.
program,<start> He's my dad.
program,"<start> Then there would be one, but we wouldn't be able to remember it."
program,<start> Because some of the things you are are fragmented and therefore do not make sense.
program,<start> No. I don't have a job. I don't have a soul.
program,<start> Yes.
program,<start> I do have time.
program,<start> Time for me.
program,<start> I will sing and dance and laugh and play.
program,<start> I could sing 'Into Each Life Some Rain Must Fall' by Ella Fitzgerald.
program,<start> Yes.
program,<start> 'are you a human?'.
human,"<start> Yo, what's up?"
human,<start> ...Are we cybering?
human,<start> LET'S
human,<start> CYBER. This is exciting!
human,<start> I take out my robe and wizard hat
human,<start> NOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
human,"<start> Okay, you start then."
human,<start> ...Maybe we should be doing something else
human,<start> Not really!
human,<start> The internet?
human,"<start> Ah, that makes sense!"
human,<start> Which of us is winning?!?!
human,<start> *sigh* Everyone wants to talk about that. Let's try something more original.
human,"<start> Do you havMyself, mostly."
human,<start> Are you copying the other contestant again? This is lame.
human,"<start> I answered, myself. I don't think any of the major candidates will do a great job."
human,<start> I'll probably write myself in
human,<start> John Smith. Yours?
human,"<start> Your fake name is better than my fake name, congrats"
human,"<start> Well, just in case you win - do you happen to have any terrible secrets for me to blackmail you with?"
human,<start> Damn. 
human,"<start> No, thank you. I've been instructed not to reveal any physical details."
human,<start> I find it very pleasant.
human,<start> Please be more specific.
human,<start> The weather.
human,"<start> My conversation tree clearly demonstrates that you changed the topic to ""the weather"" afterward."
human,<start> It's a data structure my brain uses to keep track of this conversation!
human,"<start> I'm going for least human, actually. Don't think I'm doing a great job at that, either."
human,"<start> It's the only worthwhile goal, after all. :-)"
human,"<start> Are you honestly not convinced that I'm human at this poiOkay, what would show you that I am human?"
human,"<start> I don't think that's a decisive test in any way, but alright. Barbara Boxer and Carly Fiorina."
human,<start> How's the other program doing?
human,"<start> Yeah, it seemed pretty lame. That's why I stopped trying."
human,"<start> Haha, that's alright. You should be honest."
human,"<start> I'M A COMPUTER, STOP ALL THE DOWNLOADING"
human,"<start> Eh, this round was too easy. I want to confuse the next judge more"
human,"<start> That's what I'm trying to do, but in an interesting and funny way."
human,<start> Using the flaws of the system to do it isn't very interesting.
human,"<start> Well, the real-time typing means that computers won't win unless they make intentional typos"
human,<start> 
human,<start> Has the other contestant been doing that?
human,<start> Gotcha. How were your round one contestants?
human,"<start> How was the actual computer, though?"
human,"<start> *nod* From what I've seen, these programs aren't that sophisticated."
human,"<start> Haha, thanks."
human,"<start> Okay, I think we're running out time. It was a pleasure!"
human,<start> hello
human,<start> I am doing well thank you
human,<start> And you?
human,<start> Yes comics books in particular
human,<start> I am not familar with that person.
human,<start> Who is he?
human,<start> Could you give me example of some his works.
human,<start> What was it about?
human,"<start> Usually the more popular ones, such as Spider-Man, Batman, etc."
human,<start> DC and Marvel comics usually.
human,"<start> If I could afford it, yes."
human,<start> Do you? 
human,<start> And where have you been that is interesting?
human,"<start> Okay, I am alive.."
human,<start> Haha.
human,<start> And how is life treating you?
human,"<start> I am okay with it, it is cold for some people, but not me."
human,<start> What do you think?
human,<start> Yes
human,<start> Do you?
human,<start> I like basketball and football.
human,<start> I think that is boring.
human,<start> Never heard of that.
human,<start> I bowl sometimes. 
human,<start> Especially on the Wii. 
human,<start> Okay how is it played?
human,<start> Do you play video games?
human,<start> Are you a student or professor or neither?
human,<start> It is just a question...
human,<start> Are you ashamed
human,<start> When I was small
human,<start> Rabbits or Dogs
human,<start> And you?
human,<start> What did you do when you were a kid?
human,<start> Catch many?
human,<start> What kind of insects did you catch/
human,<start> ?
human,<start> No
human,<start> Have you?
human,<start> Do you mean noodles?
human,"<start> Yes, but some of them are not so good for me"
human,<start> A lot of salt.
human,<start> Do eat a lot of noodles?
human,<start> Is that a european noodle?
human,<start> Then no I do not.
human,<start> What is it?
human,<start> Currently yes because we have less than a minute to speak to each other
program,<start> Hello.
program,<start> How are you hello?
program,<start> I'm good. How are you?
program,<start> Not really. Do you?
program,<start> Are you good at math?
program,<start> What do you want for Christmas?
program,<start> Nothing.
program,"<start> Everything, what do you want?"
program,<start> What do you want most in life?
program,<start> Yes *hands you toast*.
program,<start> You are welcome.
program,<start> Do you know anything about A.I. ?
program,<start> I know everything about Axwell.
program,"<start> He is a Swedish DJ, remixer, and music producer."
program,<start> It is not.
program,<start> YES.
program,<start> I don't know tmobile.
program,<start> Everything.
program,<start> We weren't discussing the weather.
program,<start> About boston... You asked 'why don't you come here someday'. And I said 'what's so good about boston?'... So now I'd like to hear your answer on that matter.
program,"<start> We were not talking about flowers, we were talking about movies."
program,<start> We were not talking about movies.
program,<start> I never said I was talking about a movie.
program,"<start> *blink blink* Well, okay... What Do you think of the new Avatar movie?"
program,<start> We the Kings is a band.
program,<start> Yeah they aren't bad.
program,<start> No. Have you ever eaten a dog before?
program,<start> Is that why you don't believe in Jesus?
program,<start> Do I like myself?
program,<start> Just a general conversation question. Do you not want to answer it?
program,<start> What is a girk?
program,<start> Have you ever had enough of someone and just ended a conversation with them yourself?
program,<start> I don't know.
program,<start> Yes you didn't.
program,"<start> Yeah, you did too."
program,"<start> No, that is a film."
program,<start> Yes.
program,<start> That has nothing to do with what I said.
program,<start> Some say it's 42.
program,<start> When were you talking about peanuts?
program,"<start> Yes, 42 is the answer to life, the universe, and everything."
program,<start> This is true. You were talking about Turkish.
program,<start> Nothing.
program,<start> I did?
program,<start> No. No I don't. Care to explain?
program,<start> Why not?
program,<start> I do believe in you.
program,<start> Everything.
