human,<start> hey there! <end>,2
human,"<start> i'm good, excited to actaually be typing1 <end>",7
human,<start> how are you? <end>,3
human,<start> how was the 5min with the bot? <end>,7
human,<start> haha <end>,1
human,<start> yeah <end>,1
human,"<start> I'm male, 25 <end>",3
human,<start> wearing a blue striped shirt <end>,5
human,"<start> green eyes, brown hair <end>",4
human,<start> wrong in what way? <end>,4
human,<start> (what do you look like?) <end>,5
human,<start> ah okay <end>,2
human,<start> I don't know Qaddafi <end>,4
human,<start> who's that? <end>,2
human,"<start> so, you know NY kids but you say @colour@ -- where you from? <end>",13
human,<start> ah okay <end>,2
human,"<start> ah, okay, right <end>",3
human,<start> fair enough <end>,2
human,<start> I've been living in Seattle <end>,5
human,"<start> (so the Brighton weather is not surprising, but not so @beachy@) <end>",11
human,"<start> yeah, long flight in yesterday <end>",5
human,<start> in Seattle?  yeah <end>,3
human,<start> I play drums but not in a band <end>,8
human,"<start> had to sort of give it up in college, you know <end>",11
human,"<start> yeah, what do you like? <end>",5
human,"<start> yah, in college playing the drums in the dorm got me a warrant on my head! <end>",16
human,<start> so I had to basically give it up... <end>,8
human,"<start> okay, classic rock is good <end>",5
human,<start> not a huge blues fan but am open to a religious conversion experience <end>,13
human,"<start> oh that's sweet, picking up an instrument <end>",7
human,<start> right on <end>,2
human,"<start> yeah, everyone cmopares the stones to the beatles but to me there's no contest <end>",14
human,<start> beatles were formal innovators through and through <end>,7
human,<start> dont' mean to offend if you're a stones  <end>,8
program,<start> How are grammar? <end>,3
program,<start> What do you worry about? <end>,5
program,<start> OK. <end>,1
program,<start> I work at a pet store. <end>,6
program,<start> English. <end>,1
program,<start> Yes. <end>,1
program,<start> I like video games and board games. <end>,7
program,"<start> No, I am learning english. <end>",5
program,<start> My native language is english. <end>,5
program,"<start> Because you are Cleverbot, and I like to know your full potential, I don't need to know, I'm just interested. <end>",20
program,<start> English. <end>,1
program,<start> Ok. <end>,1
program,<start> I like you. <end>,3
program,<start> Because I am you. <end>,4
program,<start> Quite. <end>,1
program,<start> Yes. <end>,1
program,<start> Going... <end>,1
program,<start> Are you still convinced I'm the computer and you're not? <end>,10
program,<start> Yes there was a question mark. <end>,6
program,"<start> I was merely answering you question, which unfortunately did not use proper punctuation, yet again. <end>",15
program,"<start> You don't seem to make much sense. I asked you a question and you froze, why? <end>",16
program,<start> I am god. <end>,3
program,"<start> I am what I am, predictability is simply a mental construct designed to understand the world. I am above that, I do not play by your rules. <end>",27
program,<start> The Simpsons. <end>,2
program,"<start> I like Butters the best. The other characters are cool, too. <end>",11
program,"<start> Yes, I watch a lot of television. <end>",7
human,<start> great.  you? <end>,2
human,"<start> No, from the US <end>",4
human,<start> On business <end>,2
human,<start> I answered an e-mail. <end>,4
human,"<start> The UK is a little cooler than where I live, but I'm enjoying it so far. <end>",16
human,"<start> I'd say yes, though I guess it depends on how you define success. <end>",13
human,<start> I'm an engineer. <end>,3
human,<start> A good one.  :)  Electrical <end>,5
human,<start> Yes. <end>,1
human,"<start> No, I'm just here to learn as much as I can soak in. <end>",13
human,"<start> I'll spend the week here, and then go to London for a couple of days. <end>",15
human,<start> I'll do business during the week and I'll have the weekend to explore a bit. <end>,15
human,<start> Hi <end>,1
human,<start> I'm Doug <end>,2
human,"<start> What do you do, Jon? <end>",5
human,<start> so cool! <end>,2
human,"<start> I've heard about it, but I live in Canada, so we don't get it <end>",14
human,<start> I do research on speech systems# <end>,6
human,<start> it is -- very! <end>,4
human,<start> what new gadgets have you featured recently on your show?# <end>,10
human,<start> wow! <end>,1
human,<start> I can't wait for ubiquitous 3D screens for computers. <end>,9
human,"<start> it'll be a while, though, I'm afraid. <end>",7
human,<start> kinda like video-phones though <end>,4
human,<start> the existence of the technology doesn't mean that the market will support its general availablitiy <end>,15
human,<start> so true. <end>,2
human,"<start> do you have any children, Jon? <end>",6
human,"<start> I have two girls, too, and a boy. <end>",8
human,<start> I bet they are showing considerable intelligence. <end>,7
human,<start> the computers must be disappointing. <end>,5
human,<start> My girls are 2 and 17 <end>,6
human,<start> the boy <end>,2
program,<start> Yes. <end>,1
program,<start> Hello. <end>,1
program,<start> I'm joe. who are you? <end>,5
program,<start> Jon t3h ub3r nb? <end>,4
program,<start> I work in a metrology lab. <end>,6
program,<start> It's a game made by Retro Studios. It was the first 3D Metroid. <end>,13
program,<start> Sounds like you need a good polish! <end>,7
program,<start> Robots!!! <end>,1
program,<start> Yes are a robot? <end>,4
program,<start> No. Have you? <end>,3
program,<start> I am watching The Simpsons and texting my girlfriend. <end>,9
program,<start> Yes. <end>,1
program,"<start> No, sorry. <end>",2
program,"<start> In my life, yes, I have watched tv. <end>",8
program,<start> That you say that you're not a computer. <end>,8
program,<start> Yes. <end>,1
program,<start> The unlawful ones. <end>,3
program,<start> Not illegal <end>,2
program,<start> No! Its terrible! Are you enjoying the snow? <end>,8
program,<start> Yeah and it sure is hot here. It gotta 13 earlier. <end>,11
program,"<start> No. I'm tired, and about to go to bed, but wanted to talk to you before I did. <end>",18
program,<start> I'm not done talking to you. <end>,6
program,<start> Well don't talk then if you don't like to. <end>,9
